Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
ADAMS COUNTY,0100,0.065,0.015,0,0.08,20230401,20230630
HATTON,0101,0.065,0.015,0,0.08,20230401,20230630
LIND,0102,0.065,0.015,0,0.08,20230401,20230630
OTHELLO,0103,0.065,0.017,0,0.082,20230401,20230630
RITZVILLE,0104,0.065,0.015,0,0.08,20230401,20230630
WASHTUCNA,0105,0.065,0.015,0,0.08,20230401,20230630
ASOTIN COUNTY,0200,0.065,0.015,0,0.08,20230401,20230630
ASOTIN CITY,0201,0.065,0.015,0,0.08,20230401,20230630
CLARKSTON,0202,0.065,0.017,0,0.082,20230401,20230630
BENTON COUNTY,0300,0.065,0.016,0,0.081,20230401,20230630
BENTON CITY,0301,0.065,0.022,0,0.087,20230401,20230630
KENNEWICK,0302,0.065,0.022,0,0.087,20230401,20230630
PROSSER,0303,0.065,0.022,0,0.087,20230401,20230630
RICHLAND,0304,0.065,0.022,0,0.087,20230401,20230630
WEST RICHLAND,0305,0.065,0.022,0,0.087,20230401,20230630
BENTON-PTBA,0333,0.065,0.022,0,0.087,20230401,20230630
CHELAN COUNTY,0400,0.065,0.018,0,0.083,20230401,20230630
CASHMERE,0401,0.065,0.018,0,0.083,20230401,20230630
CHELAN CITY,0402,0.065,0.018,0,0.083,20230401,20230630
ENTIAT,0403,0.065,0.018,0,0.083,20230401,20230630
LEAVENWORTH,0404,0.065,0.02,0,0.085,20230401,20230630
WENATCHEE,0405,0.065,0.022,0,0.087,20230401,20230630
CLALLAM COUNTY,0500,0.065,0.021,0,0.086,20230401,20230630
FORKS,0501,0.065,0.021,0,0.086,20230401,20230630
PORT ANGELES,0502,0.065,0.023,0,0.088,20230401,20230630
SEQUIM,0503,0.065,0.024,0,0.089,20230401,20230630
CLARK COUNTY,0600,0.065,0.013,0,0.078,20230401,20230630
BATTLE GROUND,0601,0.065,0.021,0,0.086,20230401,20230630
CAMAS,0602,0.065,0.02,0,0.085,20230401,20230630
LA CENTER,0603,0.065,0.02,0,0.085,20230401,20230630
RIDGEFIELD,0604,0.065,0.022,0,0.087,20230401,20230630
VANCOUVER,0605,0.065,0.022,0,0.087,20230401,20230630
WASHOUGAL,0606,0.065,0.02,0,0.085,20230401,20230630
YACOLT,0607,0.065,0.02,0,0.085,20230401,20230630
COWLITZ TRIBE - CLARK COUNTY,0609,0.065,0.013,0,0.078,20230401,20230630
COWLITZ TRIBE - LA CENTER,0611,0.065,0.02,0,0.085,20230401,20230630
CLARK-PTBA,0666,0.065,0.02,0,0.085,20230401,20230630
COLUMBIA COUNTY,0700,0.065,0.017,0,0.082,20230401,20230630
DAYTON,0701,0.065,0.019,0,0.084,20230401,20230630
STARBUCK,0702,0.065,0.017,0,0.082,20230401,20230630
COWLITZ COUNTY,0800,0.065,0.013,0,0.078,20230401,20230630
CASTLE ROCK,0801,0.065,0.015,0,0.08,20230401,20230630
KALAMA,0802,0.065,0.016,0,0.081,20230401,20230630
KELSO,0803,0.065,0.017,0,0.082,20230401,20230630
LONGVIEW,0804,0.065,0.017,0,0.082,20230401,20230630
WOODLAND,0805,0.065,0.014,0,0.079,20230401,20230630
DOUGLAS COUNTY,0900,0.065,0.013,0,0.078,20230401,20230630
BRIDGEPORT,0901,0.065,0.013,0,0.078,20230401,20230630
EAST WENATCHEE,0902,0.065,0.02,0,0.085,20230401,20230630
MANSFIELD,0903,0.065,0.012,0,0.077,20230401,20230630
ROCK ISLAND,0904,0.065,0.018,0,0.083,20230401,20230630
WATERVILLE,0905,0.065,0.018,0,0.083,20230401,20230630
DOUGLAS-PTBA,0909,0.065,0.018,0,0.083,20230401,20230630
FERRY COUNTY,1000,0.065,0.015,0,0.08,20230401,20230630
REPUBLIC,1001,0.065,0.015,0,0.08,20230401,20230630
FRANKLIN COUNTY,1100,0.065,0.016,0,0.081,20230401,20230630
CONNELL,1101,0.065,0.018,0,0.083,20230401,20230630
KAHLOTUS,1102,0.065,0.016,0,0.081,20230401,20230630
MESA,1103,0.065,0.016,0,0.081,20230401,20230630
PASCO,1104,0.065,0.024,0,0.089,20230401,20230630
FRANKLIN-PTBA,1111,0.065,0.022,0,0.087,20230401,20230630
GARFIELD COUNTY,1200,0.065,0.016,0,0.081,20230401,20230630
POMEROY,1201,0.065,0.016,0,0.081,20230401,20230630
GRANT COUNTY,1300,0.065,0.017,0,0.082,20230401,20230630
